"","question","result","controlweight","controlques","weighted.result","high.score"
"1","Deploy automated asset inventory",3,1,"Do you deploy an automated asset inventory discovery tool and use it to build a preliminary asset inventory of systems connected to an organization's public and private network(s)?  Do you employ both active tools that scan through network address ranges and passive tools that identify hosts based on analyzing their traffic ?",3,3
"2","Maintain Asset Inventory",3,2,"Do you maintain an asset inventory of all systems connected to the network and the network devices themselves, recording at least the network addresses, machine name(s), purpose of each system, an asset owner responsible for each device, and the department associated with each device?  Do you identify devices such as mobile phones, tablets, laptops, and other portable electronic devices that store or process data , regardless of whether they are attached to the organization's network ?",6,6
"3","Deploy Network level authentication",3,2,"Do you deploy network level authentication via 802.1x to limit and control which devices can be connected to the network? The 802.1x must be tied into the inventory data to determine authorized versus unauthorized systems.",6,6
"4","Deply Network Access Control (NAC)",3,2,"Do you deploy network access control (NAC) to monitor authorized systems so if attacks occur, the impact can be remediated by moving the untrusted system to a virtual local area network that has minimal access ?",6,6
"5","Compare against standard configurations",3,1,"Do you compare firewall, router, and switch configuration against standard secure configurations defined for each type of network device in use in the organization? The security configuration of such devices should be documented, reviewed, and approved by an organization change control board. ",3,3
"6","Deploy Application whitelisting technology",3,1,"Do you deploy application whitelisting technology that allows systems to run software only if it is included on the whitelist and prevents execution of all other software on the system?",3,3
"7","Regular scanning of SW",3,1,"Do you perform regular scanning for unauthorized software and generate alerts when it is discovered on a system? Do you have a strict change-control process implemented to control any changes or installation of software to any systems on the network? ",3,3
"8","SW inventory integrated with HW inventory",3,2,"Is the software inventory system integrated with the hardware asset inventory so that all devices and associated software are tracked from a single location ?",6,6
"9","Use of standard secure configurations",3,1,"Have you established and ensured the use of standard secure configurations of your operating systems? Standardized images should represent hardened versions of the underlying operating system and the applications installed on the system. ",3,3
"10","Implement automated patching tools",3,1,"Do you implement automated patching tools and processes for both applications and for operating system software? When outdated systems can no longer be patched, do you update to the latest version of application software and remove outdated, older, and unused software from the system ?",3,3
"11","Limit administrative privileges",3,1,"Do you limit administrative privileges to very few users who have both the knowledge necessary to administer the operating system and a business need to modify the configuration of the underlying operating system? This will help prevent installation of unauthorized software and other abuses of administrator privileges. ",3,3
"12","Building secure Image",3,1,"Do you follow strict configuration management, building a secure image that is used to build all new systems that are deployed in the enterprise?  Any existing system that becomes compromised should be re-imaged with the secure build. ",3,3
"13","Store master images on secure servers",3,1,"Do you store the master images on securely configured servers, validated with integrity checking tools capable of continuous inspection, and change management to ensure that only authorized changes to the images are possible?  ",3,3
"14","Use file integrity checking tools",3,2,"Do you utilize file integrity checking tools to ensure that critical system files (including sensitive system and application executables, libraries, and configurations) have not been altered? ",6,6
"15","Implement automated configuration monitoring systems",3,3,"Do you implement and test an automated configuration monitoring system that measures all secure configuration elements that can be measured through remote testing using features such as those included with tools compliant with Security Content Automation Protocol (SCAP), and alerts when unauthorized changes occur? ",9,9
"16","Deploy AD or Puppet",3,2,"Do you deploy system configuration management tools, such as Active Directory Group Policy Objects for Microsoft Windows systems or Puppet for UNIX systems that will automatically enforce and redeploy configuration settings to systems at regularly scheduled intervals. ",6,6
